Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2010-11-01,1180.55,-0.0023,8128.1026,10839.0457,25 ans,24 mois
2010-12-01,1257.64,0.0653,8658.868,11546.8358,25 ans,24 mois
2011-01-01,1286.12,0.0226,8854.9531,11808.3205,25 ans,24 mois
2011-02-01,1327.22,0.032,9137.9269,12185.6739,25 ans,24 mois
2011-03-01,1325.83,-0.001,9128.3567,12172.9117,25 ans,24 mois
2011-04-01,1363.61,0.0285,9388.4727,12519.7834,25 ans,24 mois
2011-05-01,1345.2,-0.0135,9261.7193,12350.7544,25 ans,24 mois
2011-06-01,1320.64,-0.0183,9092.6238,12125.261,25 ans,24 mois
2011-07-01,1292.28,-0.0215,8897.365,11864.878,25 ans,24 mois
2011-08-01,1218.89,-0.0568,8392.0738,11191.0584,25 ans,24 mois
2011-09-01,1131.42,-0.0718,7789.8419,10387.9658,25 ans,24 mois
2011-10-01,1253.3,0.1077,8628.9873,11506.9891,25 ans,24 mois
2011-11-01,1246.96,-0.0051,8585.3357,11448.7785,25 ans,24 mois
2011-12-01,1257.6,0.0085,8658.5924,11546.4682,25 ans,24 mois
2012-01-01,1312.41,0.0436,9035.9603,12049.6986,25 ans,24 mois
2012-02-01,1365.6801,0.0406,9402.7251,12538.7895,25 ans,24 mois
2012-03-01,1408.47,0.0313,9697.3343,12931.6587,25 ans,24 mois
2012-04-01,1397.91,-0.0075,9624.6289,12834.7043,25 ans,24 mois
2012-05-01,1310.33,-0.0627,9021.639,12030.6007,25 ans,24 mois
2012-06-01,1362.16,0.0396,9378.4897,12506.4709,25 ans,24 mois
2012-07-01,1379.3199,0.0126,9496.6359,12664.0221,25 ans,24 mois
2012-08-01,1406.58,0.0198,9684.3215,12914.3059,25 ans,24 mois
2012-09-01,1440.67,0.0242,9919.0322,13227.299,25 ans,24 mois
2012-10-01,1412.16,-0.0198,9722.7404,12965.5385,25 ans,24 mois
2012-11-01,1416.1801,0.0028,9750.4183,13002.4477,25 ans,24 mois
2012-12-01,1426.1899,0.0071,9819.3365,13094.352,25 ans,24 mois
2013-01-01,1498.11,0.0504,10314.5069,13754.6753,25 ans,24 mois
2013-02-01,1514.6801,0.0111,10428.5921,13906.8109,25 ans,24 mois
2013-03-01,1569.1899,0.036,10803.8934,14407.2854,25 ans,24 mois
